Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.Windows.Threading.PriorityRange.Contains(valuetype System.Windows.Threading.DispatcherPriority)",1,1,"0,11","0,11",
"System.Windows.TreeChangeInfo.GetRootInheritableValue(class System.Windows.DependencyProperty)",1,1,"0,11","0,11",
"System.Windows.UIElement.AddToEventRoute(class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",20,1,"2,11","0,11",
"System.Windows.UIElement.get_IsHitTestVisible()",2,1,"0,21","0,11",
"System.Windows.UIElement.OnPreviewMouseMoveThunk(object,class System.Windows.Input.MouseEventArgs)",2,1,"0,21","0,11",
"System.Windows.UIElement.OnQueryCursorThunk(object,class System.Windows.Input.QueryCursorEventArgs)",3,1,"0,32","0,11",
"System.Windows.UncommonField`1.GetValue(class System.Windows.DependencyObject)",6,1,"0,63","0,11",
"System.Windows.UncommonField`1.GetValue(class System.Windows.DependencyObject)",1,1,"0,11","0,11",
"System.Windows.Window.WindowFilterMessage(native int,int32,native int,native int,bool&)",2,1,"0,21","0,11",
"System.Xaml.XamlObjectWriter.WriteValue(object)",1,1,"0,11","0,11",
"[ADVAPI32.dll]",2,0,"0,21","0,00",
"[browcli.dll]",1,0,"0,11","0,00",
"[dtsh.dll]",4,0,"0,42","0,00",
"[fdWNet.dll]",1,0,"0,11","0,00",
"[FirewallAPI.dll]",5,0,"0,53","0,00",
"[FunDisc.dll]",2,0,"0,21","0,00",
"[IMM32.DLL]",1,0,"0,11","0,00",
"[LPK.dll]",24,0,"2,53","0,00",
"[MPR.dll]",1,0,"0,11","0,00",
"[MSCOREE.DLL]",691,0,"72,74","0,00",
"[mscoreei.dll]",516,0,"54,32","0,00",
"[mscorlib.dll]",1,0,"0,11","0,00",
"[NetworkExplorer.dll]",4,0,"0,42","0,00",
"[NetworkItemFactory.dll]",3,0,"0,32","0,00",
"[ntlanman.dll]",1,0,"0,11","0,00",
"[ntshrui.dll]",1,0,"0,11","0,00",
