Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.Windows.Controls.Primitives.PopupRoot.MeasureOverride(valuetype System.Windows.Size)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.Selector.InvokeSelectionChanged(class System.Collections.Generic.List`1<class System.Windows.Controls.ItemsControl/ItemInfo>,class System.Collections.Generic.List`1<class System.Windows.Controls.ItemsControl/ItemInfo>)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.Selector.NotifyIsSelectedChanged(class System.Windows.FrameworkElement,bool,class System.Windows.RoutedEventArgs)",7,0,"0,74","0,00",
"System.Windows.Controls.Primitives.Selector.OnInitialized(class System.EventArgs)",2,0,"0,21","0,00",
"System.Windows.Controls.Primitives.Selector.OnItemsChanged(class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.Selector.OnSelected(object,class System.Windows.RoutedEventArgs)",7,0,"0,74","0,00",
"System.Windows.Controls.Primitives.Selector.SelectionChanger.End()",8,0,"0,84","0,00",
"System.Windows.Controls.Primitives.Selector.SelectionChanger.SelectJustThisItem(class System.Windows.Controls.ItemsControl/ItemInfo,bool)",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.Selector.SetSelectedHelper(object,class System.Windows.FrameworkElement,bool)",7,0,"0,74","0,00",
"System.Windows.Controls.Primitives.Selector.SetSelectedToCurrent()",1,0,"0,11","0,00",
"System.Windows.Controls.Primitives.Selector.UpdatePublicSelectionProperties()",7,0,"0,74","0,00",
"System.Windows.Controls.Primitives.TextBoxBase.OnQueryCursor(class System.Windows.Input.QueryCursorEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.ProgressBar.ChangeVisualState(bool)",1,0,"0,11","0,00",
"System.Windows.Controls.ProgressBar.OnIsIndeterminateChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.RowDefinitionCollection.PrivateConnectChild(int32,class System.Windows.Controls.DefinitionBase)",1,0,"0,11","0,00",
"System.Windows.Controls.RowDefinitionCollection.PrivateInsert(int32,class System.Windows.Controls.DefinitionBase)",1,0,"0,11","0,00",
"System.Windows.Controls.RowDefinitionCollection.System.Collections.IList.Add(object)",1,0,"0,11","0,00",
"System.Windows.Controls.ScrollContentPresenter.ArrangeOverride(valuetype System.Windows.Size)",13,0,"1,37","0,00",
"System.Windows.Controls.ScrollContentPresenter.MeasureOverride(valuetype System.Windows.Size)",10,0,"1,05","0,00",
"System.Windows.Controls.ScrollViewer.ArrangeOverride(valuetype System.Windows.Size)",13,0,"1,37","0,00",
"System.Windows.Controls.ScrollViewer.MeasureOverride(valuetype System.Windows.Size)",11,0,"1,16","0,00",
"System.Windows.Controls.SelectionChangedEventArgs.InvokeEventHandler(class System.Delegate,object)",1,0,"0,11","0,00",
"System.Windows.Controls.StackPanel.ArrangeOverride(valuetype System.Windows.Size)",5,0,"0,53","0,00",
"System.Windows.Controls.StackPanel.MeasureOverride(valuetype System.Windows.Size)",3,0,"0,32","0,00",
"System.Windows.Controls.StackPanel.StackArrangeHelper(class System.Windows.Controls.IStackMeasure,class System.Windows.Controls.IStackMeasureScrollData,valuetype System.Windows.Size)",5,0,"0,53","0,00",
"System.Windows.Controls.StackPanel.StackMeasureHelper(class System.Windows.Controls.IStackMeasure,class System.Windows.Controls.IStackMeasureScrollData,valuetype System.Windows.Size)",3,0,"0,32","0,00",
"System.Windows.Controls.TextBlock.CalcWrappingWidth(float64)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBlock.EnsureTextBlockCache()",1,0,"0,11","0,00",
"System.Windows.Controls.TextBlock.get_Padding()",1,0,"0,11","0,00",
"System.Windows.Controls.TextBlock.GetLineProperties()",6,0,"0,63","0,00",
"System.Windows.Controls.TextBlock.GetLineProperties(bool,bool,class MS.Internal.Text.LineProperties)",3,0,"0,32","0,00",
"System.Windows.Controls.TextBlock.InputHitTestCore(valuetype System.Windows.Point)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBlock.InputHitTestCore(valuetype System.Windows.Point)",15,0,"1,58","0,00",
"System.Windows.Controls.TextBlock.MeasureOverride(valuetype System.Windows.Size)",2,0,"0,21","0,00",
"System.Windows.Controls.TextBlock.System.Windows.IContentHost.InputHitTest(valuetype System.Windows.Point)",16,0,"1,68","0,00",
"System.Windows.Controls.TextBox.MeasureOverride(valuetype System.Windows.Size)",5,0,"0,53","0,00",
"System.Windows.Controls.TextBox.OnPropertyChanged(valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBox.OnTextPropertyChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBox.OnTextPropertyChanged(string,string)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBox.set_Text(string)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBoxLine.CreateVisual()",3,0,"0,32","0,00",
"System.Windows.Controls.TextBoxLine.Format(int32,float64,float64,class MS.Internal.Text.LineProperties,class System.Windows.Media.TextFormatting.TextRunCache,class System.Windows.Media.TextFormatting.TextFormatter)",8,0,"0,84","0,00",
"System.Windows.Controls.TextBoxLine.GetTextRun(int32)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBoxLine.HandleText(valuetype System.Windows.Documents.StaticTextPointer)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBoxView.ArrangeOverride(valuetype System.Windows.Size)",4,0,"0,42","0,00",
"System.Windows.Controls.TextBoxView.ArrangeVisuals(valuetype System.Windows.Size)",4,0,"0,42","0,00",
"System.Windows.Controls.TextBoxView.FullMeasureTick(float64,class MS.Internal.Text.LineProperties)",6,0,"0,63","0,00",
"System.Windows.Controls.TextBoxView.GetFormattedLine(int32,class MS.Internal.Text.LineProperties&)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBoxView.GetTextPositionFromDistance(int32,float64)",1,0,"0,11","0,00",
"System.Windows.Controls.TextBoxView.MeasureOverride(valuetype System.Windows.Size)",6,0,"0,63","0,00",
"System.Windows.Controls.TextBoxView.System.Windows.Documents.ITextView.GetTextPositionFromPoint(valuetype System.Windows.Point,bool)",1,0,"0,11","0,00",
"System.Windows.Controls.ToolTip.HookupParentPopup()",4,0,"0,42","0,00",
"System.Windows.Controls.ToolTip.OnContentChanged(object,object)",1,0,"0,11","0,00",
"System.Windows.Controls.ToolTip.OnIsOpenChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",4,0,"0,42","0,00",
"System.Windows.Controls.UIElementCollection.Add(class System.Windows.UIElement)",1,0,"0,11","0,00",
"System.Windows.Controls.UIElementCollection.AddInternal(class System.Windows.UIElement)",3,0,"0,32","0,00",
"System.Windows.Controls.UIElementCollection.get_Item(int32)",2,0,"0,21","0,00",
"System.Windows.Controls.UIElementCollection.System.Collections.IList.Add(object)",1,0,"0,11","0,00",
"System.Windows.Controls.VirtualizingStackPanel.<>c__DisplayClassa.<InitializeViewport>b__7()",1,0,"0,11","0,00",
"System.Windows.Controls.VirtualizingStackPanel.AddContainerFromGenerator(int32,class System.Windows.UIElement,bool,bool)",1,0,"0,11","0,00",
"System.Windows.Controls.VirtualizingStackPanel.ArrangeItemsBeyondTheExtendedViewport(bool,class System.Windows.UIElement,valuetype System.Windows.Size,float64,class System.Collections.IList,class System.Windows.Controls.Primitives.IItemContainerGenerator,class System.Windows.Controls.Primitives.IContainItemStorage,bool,float64,bool,valuetype System.Windows.Rect&,valuetype System.Windows.Size&,valuetype System.Windows.Point&,int32&)",1,0,"0,11","0,00",
"System.Windows.Controls.VirtualizingStackPanel.ArrangeOtherItemsInExtendedViewport(bool,class System.Windows.UIElement,valuetype System.Windows.Size,float64,int32,valuetype System.Windows.Rect&,valuetype System.Windows.Size&,valuetype System.Windows.Point&,int32&)",2,0,"0,21","0,00",
"System.Windows.Controls.VirtualizingStackPanel.ArrangeOverride(valuetype System.Windows.Size)",3,0,"0,32","0,00",
"System.Windows.Controls.VirtualizingStackPanel.InsertContainer(int32,class System.Windows.UIElement,bool)",1,0,"0,11","0,00",
"System.Windows.Controls.VirtualizingStackPanel.MeasureChild(class System.Windows.Controls.Primitives.IItemContainerGenerator&,class System.Windows.Controls.Primitives.IContainItemStorage&,class System.Windows.Controls.Primitives.IContainItemStorage&,object&,bool&,float64&,bool&,class System.Collections.IList&,object&,class System.Collections.IList&,int32&,bool&,bool&,valuetype System.Windows.Size&,valuetype System.Windows.Rect&,valuetype System.Windows.Controls.VirtualizationCacheLength&,valuetype System.Windows.Controls.VirtualizationCacheLengthUnit&,bool&,float64&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,valuetype System.Windows.Size&,bool&,bool,bool,bool,bool,bool,bool&,bool&)",5,0,"0,53","0,00",
"System.Windows.Controls.VirtualizingStackPanel.MeasureOverride(valuetype System.Windows.Size)",5,0,"0,53","0,00",
"System.Windows.Controls.VirtualizingStackPanel.MeasureOverrideImpl(valuetype System.Windows.Size,valuetype System.Nullable`1<float64>&,class System.Collections.Generic.List`1<float64>&,bool)",5,0,"0,53","0,00",
"System.Windows.Controls.WrapPanel.arrangeLine(float64,float64,int32,int32,bool,float64)",2,0,"0,21","0,00",
"System.Windows.Controls.WrapPanel.ArrangeOverride(valuetype System.Windows.Size)",2,0,"0,21","0,00",
"System.Windows.Controls.WrapPanel.MeasureOverride(valuetype System.Windows.Size)",1,0,"0,11","0,00",
"System.Windows.Data.BindingExpression.Activate(object)",1,0,"0,11","0,00",
"System.Windows.Data.BindingExpression.AttachToContext(valuetype System.Windows.Data.BindingExpression/AttachAttempt)",1,0,"0,11","0,00",
"System.Windows.Data.BindingExpression.MS.Internal.Data.IDataBindEngineClient.AttachToContext(bool)",1,0,"0,11","0,00",
"System.Windows.Data.BindingExpression.UpdateOverride()",7,0,"0,74","0,00",
"System.Windows.Data.BindingExpression.UpdateSource(object)",7,0,"0,74","0,00",
"System.Windows.Data.BindingExpressionBase.Dirty()",7,0,"0,74","0,00",
"System.Windows.Data.BindingExpressionBase.ProcessDirty()",7,0,"0,74","0,00",
"System.Windows.Data.BindingExpressionBase.SetValue(class System.Windows.DependencyObject,class System.Windows.DependencyProperty,object)",7,0,"0,74","0,00",
"System.Windows.Data.BindingExpressionBase.Update()",7,0,"0,74","0,00",
"System.Windows.Data.BindingExpressionBase.UpdateValue()",7,0,"0,74","0,00",
"System.Windows.Data.BindingOperations.SetBinding(class System.Windows.DependencyObject,class System.Windows.DependencyProperty,class System.Windows.Data.BindingBase)",5,0,"0,53","0,00",
"System.Windows.Data.CollectionView.DeferHelper.Dispose()",1,0,"0,11","0,00",
"System.Windows.Data.CollectionView.EndDefer()",1,0,"0,11","0,00",
"System.Windows.Data.CollectionView.OnCollectionChanged(class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Data.CollectionView.Refresh()",1,0,"0,11","0,00",
"System.Windows.Data.CollectionView.RefreshInternal()",1,0,"0,11","0,00",
"System.Windows.Data.ListCollectionView.RefreshOverride()",1,0,"0,11","0,00",
"System.Windows.DeferredAppResourceReference.GetValue(valuetype System.Windows.BaseValueSourceInternal)",3,0,"0,32","0,00",
"System.Windows.DeferredResourceReference.GetValue(valuetype System.Windows.BaseValueSourceInternal)",3,0,"0,32","0,00",
"System.Windows.DependencyObject.ClearValue(class System.Windows.DependencyPropertyKey)",3,0,"0,32","0,00",
"System.Windows.DependencyObject.ClearValueCommon(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata)",3,0,"0,32","0,00",
"System.Windows.DependencyObject.EvaluateEffectiveValue(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry,valuetype System.Windows.EffectiveValueEntry,valuetype System.Windows.OperationType)",26,0,"2,74","0,00",
"System.Windows.DependencyObject.EvaluateExpression(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.Expression,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry,valuetype System.Windows.EffectiveValueEntry)",1,0,"0,11","0,00",
"System.Windows.DependencyObject.InsertEntry(valuetype System.Windows.EffectiveValueEntry,uint32)",2,0,"0,21","0,00",
"System.Windows.DependencyObject.InvalidateProperty(class System.Windows.DependencyProperty,bool)",31,0,"3,26","0,00",
"System.Windows.DependencyObject.NotifyPropertyChange(valuetype System.Windows.DependencyPropertyChangedEventArgs)",40,0,"4,21","0,00",
"System.Windows.DependencyObject.OnPropertyChanged(valuetype System.Windows.DependencyPropertyChangedEventArgs)",26,0,"2,74","0,00",
"System.Windows.DependencyObject.SetCurrentValue(class System.Windows.DependencyProperty,object)",7,0,"0,74","0,00",
"System.Windows.DependencyObject.SetCurrentValueInternal(class System.Windows.DependencyProperty,object)",7,0,"0,74","0,00",
"System.Windows.DependencyObject.SetEffectiveValue(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry,valuetype System.Windows.EffectiveValueEntry)",2,0,"0,21","0,00",
"System.Windows.DependencyObject.SetupPropertyChange(class System.Windows.DependencyProperty)",3,0,"0,32","0,00",
"System.Windows.DependencyObject.SetValue(class System.Windows.DependencyProperty,bool)",4,0,"0,42","0,00",
"System.Windows.DependencyObject.SetValue(class System.Windows.DependencyProperty,object)",23,0,"2,42","0,00",
"System.Windows.DependencyObject.SetValue(class System.Windows.DependencyPropertyKey,bool)",2,0,"0,21","0,00",
"System.Windows.DependencyObject.SetValue(class System.Windows.DependencyPropertyKey,object)",4,0,"0,42","0,00",
"System.Windows.DependencyObject.SetValueCommon(class System.Windows.DependencyProperty,object,class System.Windows.PropertyMetadata,bool,bool,valuetype System.Windows.OperationType,bool)",26,0,"2,74","0,00",
"System.Windows.DependencyObject.SetValueInternal(class System.Windows.DependencyProperty,object)",3,0,"0,32","0,00",
"System.Windows.DependencyObjectType.FromSystemTypeInternal(class System.Type)",1,0,"0,11","0,00",
"System.Windows.DependencyObjectType.FromSystemTypeRecursive(class System.Type)",1,0,"0,11","0,00",
"System.Windows.DependencyProperty.GetMetadata(class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"System.Windows.DescendentsWalker`1._VisitNode(class System.Windows.DependencyObject,bool)",2,0,"0,21","0,00",
"System.Windows.DescendentsWalker`1._VisitNode(class System.Windows.DependencyObject,bool)",7,0,"0,74","0,00",
"System.Windows.DescendentsWalker`1.IterateChildren(class System.Windows.DependencyObject)",7,0,"0,74","0,00",
"System.Windows.DescendentsWalker`1.IterateChildren(class System.Windows.DependencyObject)",22,0,"2,32","0,00",
"System.Windows.DescendentsWalker`1.IterateChildren(class System.Windows.DependencyObject)",2,0,"0,21","0,00",
"System.Windows.DescendentsWalker`1.StartWalk(class System.Windows.DependencyObject,bool)",2,0,"0,21","0,00",
"System.Windows.DescendentsWalker`1.StartWalk(class System.Windows.DependencyObject,bool)",7,0,"0,74","0,00",
"System.Windows.DescendentsWalker`1.StartWalk(class System.Windows.DependencyObject,bool)",22,0,"2,32","0,00",
"System.Windows.DescendentsWalker`1.VisitNode(class System.Windows.DependencyObject,bool)",2,0,"0,21","0,00",
"System.Windows.DescendentsWalker`1.VisitNode(class System.Windows.DependencyObject,bool)",7,0,"0,74","0,00",
"System.Windows.DescendentsWalker`1.VisitNode(class System.Windows.DependencyObject,bool)",22,0,"2,32","0,00",
"System.Windows.DescendentsWalker`1.VisitNode(class System.Windows.FrameworkElement,bool)",7,0,"0,74","0,00",
"System.Windows.DescendentsWalker`1.VisitNode(class System.Windows.FrameworkElement,bool)",22,0,"2,32","0,00",
"System.Windows.DescendentsWalker`1.VisitNode(class System.Windows.FrameworkElement,bool)",2,0,"0,21","0,00",
"System.Windows.DescendentsWalker`1.WalkFrameworkElementLogicalThenVisualChildren(class System.Windows.FrameworkElement,bool)",2,0,"0,21","0,00",
"System.Windows.DescendentsWalker`1.WalkFrameworkElementLogicalThenVisualChildren(class System.Windows.FrameworkElement,bool)",22,0,"2,32","0,00",
"System.Windows.DescendentsWalker`1.WalkFrameworkElementLogicalThenVisualChildren(class System.Windows.FrameworkElement,bool)",7,0,"0,74","0,00",
"System.Windows.DescendentsWalker`1.WalkLogicalChildren(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Collections.IEnumerator)",6,0,"0,63","0,00",
"System.Windows.DescendentsWalker`1.WalkLogicalChildren(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Collections.IEnumerator)",21,0,"2,21","0,00",
"System.Windows.Documents.AdornerDecorator.ArrangeOverride(valuetype System.Windows.Size)",9,0,"0,95","0,00",
"System.Windows.Documents.AdornerDecorator.MeasureOverride(valuetype System.Windows.Size)",2,0,"0,21","0,00",
"System.Windows.Documents.TextEditorMouse.IsPointWithinInteractiveArea(class System.Windows.Documents.TextEditor,valuetype System.Windows.Point)",1,0,"0,11","0,00",
"System.Windows.Documents.TextEditorMouse.OnQueryCursor(object,class System.Windows.Input.QueryCursorEventArgs)",1,0,"0,11","0,00",
"System.Windows.Documents.TextRange.ChangeBlock.System.IDisposable.Dispose()",1,0,"0,11","0,00",
"System.Windows.Documents.TextRange.System.Windows.Documents.ITextRange.EndChange(bool,bool)",1,0,"0,11","0,00",
"System.Windows.Documents.TextRangeBase.EndChange(class System.Windows.Documents.ITextRange,bool,bool)",1,0,"0,11","0,00",
"System.Windows.Documents.TextSelection.System.Windows.Documents.ITextRange.NotifyChanged(bool,bool)",1,0,"0,11","0,00",
"System.Windows.Documents.TextStore.GrantLock()",1,0,"0,11","0,00",
"System.Windows.Documents.TextStore.GrantLockWorker(valuetype MS.Win32.UnsafeNativeMethods/LockFlags)",1,0,"0,11","0,00",
"System.Windows.Documents.TextStore.OnSelectionChanged()",1,0,"0,11","0,00",
"System.Windows.Documents.TextStore.RequestLock(valuetype MS.Win32.UnsafeNativeMethods/LockFlags,int32&)",1,0,"0,11","0,00",
"System.Windows.EffectiveValueEntry.EnsureModifiedValue(bool)",2,0,"0,21","0,00",
"System.Windows.EffectiveValueEntry.SetAnimatedValue(object,object)",2,0,"0,21","0,00",
"System.Windows.EventHandlersStore.get_Item(class System.Windows.RoutedEvent)",1,0,"0,11","0,00",
"System.Windows.EventRoute.Clear()",4,0,"0,42","0,00",
"System.Windows.EventRoute.GetTunnelSource(int32,int32&)",10,0,"1,05","0,00",
"System.Windows.EventRoute.InvokeHandlersImpl(object,class System.Windows.RoutedEventArgs,bool)",208,0,"21,89","0,00",
"System.Windows.FrameworkContentElement.ChangeLogicalParent(class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"System.Windows.FrameworkContentElement.EvaluateBaseValueCore(class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry&)",2,0,"0,21","0,00",
"System.Windows.FrameworkContentElement.GetRawValue(class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry&)",2,0,"0,21","0,00",
"System.Windows.FrameworkContentElement.GetValueFromTemplatedParent(class System.Windows.DependencyProperty,valuetype System.Windows.EffectiveValueEntry&)",1,0,"0,11","0,00",
"System.Windows.FrameworkContentElement.InvalidateTreeDependentProperties(valuetype System.Windows.TreeChangeInfo,bool)",2,0,"0,21","0,00",
"System.Windows.FrameworkContentElement.OnAncestorChangedInternal(valuetype System.Windows.TreeChangeInfo)",3,0,"0,32","0,00",
"System.Windows.FrameworkElement.AddLogicalChild(object)",6,0,"0,63","0,00",
"System.Windows.FrameworkElement.AddToEventRouteCore(class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",6,0,"0,63","0,00",
"System.Windows.FrameworkElement.AdjustEventSource(class System.Windows.RoutedEventArgs)",2,0,"0,21","0,00",
"System.Windows.FrameworkElement.ApplyTemplate()",15,0,"1,58","0,00",
"System.Windows.FrameworkElement.BuildRouteCore(class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",12,0,"1,26","0,00",
"System.Windows.FrameworkElement.BuildRouteCoreHelper(class System.Windows.EventRoute,class System.Windows.RoutedEventArgs,bool)",12,0,"1,26","0,00",
"System.Windows.FrameworkElement.ChangeLogicalParent(class System.Windows.DependencyObject)",7,0,"0,74","0,00",
"System.Windows.FrameworkElement.EndInit()",2,0,"0,21","0,00",
"System.Windows.FrameworkElement.EvaluateBaseValueCore(class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry&)",22,0,"2,32","0,00",
"System.Windows.FrameworkElement.FindImplicitStyleResource(class System.Windows.FrameworkElement,object,object&)",6,0,"0,63","0,00",
"System.Windows.FrameworkElement.FindResourceInternal(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.DependencyProperty,object,object,bool,bool,class System.Windows.DependencyObject,bool,object&)",20,0,"2,11","0,00",
"System.Windows.FrameworkElement.FindResourceInTree(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.DependencyProperty,object,object,bool,bool,class System.Windows.DependencyObject,valuetype System.Windows.InheritanceBehavior&,object&)",2,0,"0,21","0,00",
"System.Windows.FrameworkElement.FindTemplateResourceInternal(class System.Windows.DependencyObject,object,class System.Type)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.get_Margin()",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.GetInheritableValue(class System.Windows.DependencyProperty,class System.Windows.FrameworkPropertyMetadata)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.GetRawValue(class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry&)",20,0,"2,11","0,00",
"System.Windows.FrameworkElement.GetTemplatedParentChildRecord(class System.Windows.DependencyObject,int32,valuetype System.Windows.ChildRecord&,bool&)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.GetValueFromTemplatedParent(class System.Windows.DependencyProperty,valuetype System.Windows.EffectiveValueEntry&)",2,0,"0,21","0,00",
"System.Windows.FrameworkElement.InvalidateTreeDependentProperties(valuetype System.Windows.TreeChangeInfo,bool)",10,0,"1,05","0,00",
"System.Windows.FrameworkElement.IsLogicalDescendent(class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.MeasureCore(valuetype System.Windows.Size)",26,0,"2,74","0,00",
"System.Windows.FrameworkElement.OnAncestorChangedInternal(valuetype System.Windows.TreeChangeInfo)",20,0,"2,11","0,00",
"System.Windows.FrameworkElement.OnInitialized(class System.EventArgs)",4,0,"0,42","0,00",
"System.Windows.FrameworkElement.OnRenderSizeChanged(class System.Windows.SizeChangedInfo)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.OnStyleChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.OnVisualParentChanged(class System.Windows.DependencyObject)",19,0,"2,00","0,00",
"System.Windows.FrameworkElement.RaiseClrEvent(class System.Windows.EventPrivateKey,class System.EventArgs)",1,0,"0,11","0,00",
"System.Windows.FrameworkElement.RemoveLogicalChild(object)",3,0,"0,32","0,00",
"System.Windows.FrameworkElement.set_TemplateChild(class System.Windows.UIElement)",17,0,"1,79","0,00",
"System.Windows.FrameworkElement.TryFireInitialized()",4,0,"0,42","0,00",
"System.Windows.FrameworkTemplate.<>c__DisplayClass6.<LoadOptimizedTemplateContent>b__3(object,class System.Xaml.XamlObjectEventArgs)",1,0,"0,11","0,00",
"System.Windows.FrameworkTemplate.<>c__DisplayClass6.<LoadOptimizedTemplateContent>b__4(object,class System.Windows.Markup.XamlSetValueEventArgs)",1,0,"0,11","0,00",
"System.Windows.FrameworkTemplate.ApplyTemplateContent(class System.Windows.UncommonField`1<class System.Collections.Specialized.HybridDictionary[]>,class System.Windows.FrameworkElement)",13,0,"1,37","0,00",
"System.Windows.FrameworkTemplate.HandleBeforeProperties(object,class System.Windows.DependencyObject&,class System.Windows.DependencyObject,class System.Windows.FrameworkElement,class System.Windows.Markup.INameScope)",1,0,"0,11","0,00",
"System.Windows.FrameworkTemplate.InvalidatePropertiesOnTemplate(class System.Windows.DependencyObject,object)",1,0,"0,11","0,00",
"System.Windows.FrameworkTemplate.LoadContent(class System.Windows.DependencyObject,class System.Collections.Generic.List`1<class System.Windows.DependencyObject>)",7,0,"0,74","0,00",
"System.Windows.FrameworkTemplate.LoadOptimizedTemplateContent(class System.Windows.DependencyObject,class System.Windows.Markup.IComponentConnector,class System.Windows.Markup.IStyleConnector,class System.Collections.Generic.List`1<class System.Windows.DependencyObject>,class System.Windows.UncommonField`1<class System.Collections.Hashtable>)",7,0,"0,74","0,00",
"System.Windows.FrameworkTemplate.LoadTemplateXaml(class System.Xaml.XamlObjectWriter)",7,0,"0,74","0,00",
"System.Windows.FrameworkTemplate.LoadTemplateXaml(class System.Xaml.XamlReader,class System.Xaml.XamlObjectWriter)",6,0,"0,63","0,00",
"System.Windows.FrameworkTemplate.ReceivePropertySet(object,class System.Xaml.XamlMember,object,class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"System.Windows.FrameworkTemplate.set_Template(class System.Windows.TemplateContent)",1,0,"0,11","0,00",
"System.Windows.Freezable.FireChanged()",7,0,"0,74","0,00",
"System.Windows.Freezable.get_SingletonContext()",1,0,"0,11","0,00",
"System.Windows.Freezable.OnPropertyChanged(valuetype System.Windows.DependencyPropertyChangedEventArgs)",8,0,"0,84","0,00",
"System.Windows.Input.CanExecuteChangedEventManager.HandlerSink.OnCanExecuteChanged(object,class System.EventArgs)",9,0,"0,95","0,00",
"System.Windows.Input.CanExecuteRoutedEventArgs.InvokeEventHandler(class System.Delegate,object)",4,0,"0,42","0,00",
"System.Windows.Input.CommandManager.FindCommandBinding(object,class System.Windows.RoutedEventArgs,class System.Windows.Input.ICommand,bool)",4,0,"0,42","0,00",
"System.Windows.Input.CommandManager.OnCanExecute(object,class System.Windows.Input.CanExecuteRoutedEventArgs)",4,0,"0,42","0,00",
"System.Windows.Input.CommandManager.RaiseRequerySuggested(object)",9,0,"0,95","0,00",
"System.Windows.Input.CommandManager.RequerySuggestedEventManager.OnRequerySuggested(object,class System.EventArgs)",9,0,"0,95","0,00",
"System.Windows.Input.InputElement.GetContainingUIElement(class System.Windows.DependencyObject,bool)",3,0,"0,32","0,00",
"System.Windows.Input.InputElement.GetContainingVisual(class System.Windows.DependencyObject)",2,0,"0,21","0,00",
"System.Windows.Input.InputElement.IsValid(class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"System.Windows.Input.InputElement.IsValid(class System.Windows.IInputElement)",1,0,"0,11","0,00",
"System.Windows.Input.InputElement.TranslatePoint(valuetype System.Windows.Point,class System.Windows.DependencyObject,class System.Windows.DependencyObject,bool&)",10,0,"1,05","0,00",
"System.Windows.Input.InputManager.GetCurrentInputManagerImpl()",3,0,"0,32","0,00",
"System.Windows.Input.InputManager.HitTestInvalidatedAsyncCallback(object)",10,0,"1,05","0,00",
"System.Windows.Input.InputManager.InvalidateInputDevices()",2,0,"0,21","0,00",
"System.Windows.Input.InputManager.PopInput()",1,0,"0,11","0,00",
"System.Windows.Input.InputManager.ProcessInput(class System.Windows.Input.InputEventArgs)",314,0,"33,05","0,00",
"System.Windows.Input.InputManager.ProcessStagingArea()",313,0,"32,95","0,00",
"System.Windows.Input.InputManager.ProcessStagingArea()",1,0,"0,11","0,00",
